country,year,population,gdp,electricity_demand,electricity_generation,fossil_electricity,renewables_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,primary_energy_consumption,greenhouse_gas_emissions,carbon_intensity_elec
Canada,2002,31535579.0,1199865635264.0,578.47998046875,599.7899780273438,165.0399932861328,359.75,75.0,110.6999969482422,38.83000183105469,15.510000228881836,0.0199999995529651,0.4099999964237213,349.2699890136719,3693.392822265625,147.02000427246094,245.1199951171875
Canada,2003,31836483.0,1224575760991.0,582.530029296875,588.27001953125,167.6300048828125,346.2699890136719,74.37000274658203,109.55999755859376,38.72999954223633,19.34000015258789,0.0199999995529651,0.6899999976158142,336.1400146484375,3711.021240234375,148.02999877929688,251.63999938964844
Canada,2004,32132680.0,1265917327101.0,587.969970703125,598.5,159.58999633789062,349.1499938964844,89.76000213623047,99.9000015258789,40.439998626708984,19.25,0.0099999997764825,0.9399999976158142,338.3999938964844,3768.067626953125,140.85000610351562,235.33999633789065
Canada,2005,32440172.0,1310077836124.0,596.6500244140625,620.5,156.38999938964844,372.7099914550781,91.4000015258789,102.86000061035156,36.880001068115234,16.649999618530273,0.0199999995529651,1.5700000524520874,361.9599914550781,3796.70361328125,139.6199951171875,225.0099945068359
Canada,2006,32759174.0,1348293394113.0,589.3200073242188,608.4299926757812,146.8300018310547,364.3200073242187,97.27999877929688,95.91999816894533,40.41999816894531,10.489999771118164,0.0199999995529651,2.4700000286102295,352.8900146484375,3669.610107421875,131.72999572753906,216.5099945068359
Canada,2007,33092171.0,1379925831954.0,603.239990234375,634.1900024414062,161.7100067138672,379.6499938964844,92.83000183105467,106.47000122070312,43.0099983215332,12.229999542236328,0.0299999993294477,3.009999990463257,367.6199951171875,3918.64990234375,144.44000244140625,227.7599945068359
Canada,2008,33449088.0,1397938727409.0,602.9500122070312,635.1099853515625,150.4600067138672,389.2999877929687,95.3499984741211,100.8000030517578,39.630001068115234,10.029999732971191,0.0399999991059303,3.7899999618530273,377.489990234375,3871.870849609375,135.5800018310547,213.47999572753903
Canada,2009,33826370.0,1360538049277.0,580.25,613.8699951171875,140.02999877929688,384.3800048828125,89.45999908447266,84.72000122070312,45.27000045776367,10.039999961853027,0.1099999994039535,6.639999866485596,368.69000244140625,3720.50439453125,125.43000030517578,204.3300018310547
Canada,2010,34196900.0,1406355361431.0,582.010009765625,607.030029296875,146.3300018310547,370.6700134277344,90.02999877929688,86.44999694824219,52.779998779296875,7.099999904632568,0.2599999904632568,8.720000267028809,351.3900146484375,3760.55419921875,130.3800048828125,214.77999877929688
Canada,2011,34555449.0,1454221365109.0,601.5900268554688,638.27001953125,148.63999938964844,396.69000244140625,92.94000244140624,79.9000015258789,62.529998779296875,6.210000038146973,0.5699999928474426,10.1899995803833,375.7200012207031,3900.1171875,131.60000610351562,206.17999267578125
